Time,ZSF1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],ZSF1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],ZSF1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],ZSF1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],ZNF1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],ZNF1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],ZNF1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],ZNF1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],ZSF2:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],ZSF2:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],ZSF2:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],ZSF2:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],ZNF2:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],ZNF2:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],ZNF2:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],ZNF2:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s]
00:10:00,4.401713E+03,0.000000E+00,1.168775E-01,0.000000E+00,4.396559E+03,0.000000E+00,1.167407E-01,0.000000E+00,6.409654E+03,0.000000E+00,1.701905E-01,0.000000E+00,6.402568E+03,0.000000E+00,1.700024E-01,0.000000E+00
00:20:00,4.436413E+03,0.000000E+00,1.177989E-01,0.000000E+00,4.431267E+03,0.000000E+00,1.176623E-01,0.000000E+00,6.427467E+03,0.000000E+00,1.706635E-01,0.000000E+00,6.420364E+03,0.000000E+00,1.704749E-01,0.000000E+00
00:30:00,4.470326E+03,0.000000E+00,1.186993E-01,0.000000E+00,4.465190E+03,0.000000E+00,1.185629E-01,0.000000E+00,6.444839E+03,0.000000E+00,1.711247E-01,0.000000E+00,6.437720E+03,0.000000E+00,1.709357E-01,0.000000E+00
00:40:00,4.503477E+03,0.000000E+00,1.195795E-01,0.000000E+00,4.498350E+03,0.000000E+00,1.194434E-01,0.000000E+00,6.461794E+03,0.000000E+00,1.715749E-01,0.000000E+00,6.454661E+03,0.000000E+00,1.713855E-01,0.000000E+00
00:50:00,4.535890E+03,0.000000E+00,1.204401E-01,0.000000E+00,4.530771E+03,0.000000E+00,1.203042E-01,0.000000E+00,6.478351E+03,0.000000E+00,1.720145E-01,0.000000E+00,6.471205E+03,0.000000E+00,1.718248E-01,0.000000E+00
01:00:00,4.567584E+03,0.000000E+00,1.212817E-01,0.000000E+00,4.562473E+03,0.000000E+00,1.211460E-01,0.000000E+00,6.494527E+03,0.000000E+00,1.724440E-01,0.000000E+00,6.487369E+03,0.000000E+00,1.722539E-01,0.000000E+00
01:10:00,4.601737E+03,0.000000E+00,1.221885E-01,0.000000E+00,4.596623E+03,0.000000E+00,1.220527E-01,0.000000E+00,6.513454E+03,0.000000E+00,1.729465E-01,0.000000E+00,6.506272E+03,0.000000E+00,1.727558E-01,0.000000E+00
01:20:00,4.632729E+03,0.000000E+00,1.230114E-01,0.000000E+00,4.627057E+03,0.000000E+00,1.228608E-01,0.000000E+00,6.532036E+03,0.000000E+00,1.734399E-01,0.000000E+00,6.524831E+03,0.000000E+00,1.732486E-01,0.000000E+00
01:30:00,4.662077E+03,0.000000E+00,1.237902E-01,0.000000E+00,4.655886E+03,0.000000E+00,1.236258E-01,0.000000E+00,6.550125E+03,0.000000E+00,1.739202E-01,0.000000E+00,6.542896E+03,0.000000E+00,1.737282E-01,0.000000E+00
01:40:00,4.689352E+03,0.000000E+00,1.245139E-01,0.000000E+00,4.682672E+03,0.000000E+00,1.243366E-01,0.000000E+00,6.567706E+03,0.000000E+00,1.743870E-01,0.000000E+00,6.560456E+03,0.000000E+00,1.741945E-01,0.000000E+00
